Number-of-branches False-positive-rate-(%) Number-of-hash-functions Bloom-filter-size-(KB)
1 1 7 0.00195312
1 2 6 0.000976562
1 3 5 0.000976562
1 4 5 0.000976562
1 5 4 0.000976562
1 6 4 0.000976562
1 7 4 0.000976562
1 8 4 0.000976562
1 9 4 0.000976562
1 10 3 0.000976562
1 11 3 0.000976562
1 12 3 0.000976562
1 13 3 0.000976562
1 14 3 0.000976562
1 15 3 0.000976562
1 16 3 0.000976562
1 17 3 0.000976562
1 18 3 0.000976562
1 19 2 0.000976562
1 20 2 0.000976562
1 21 2 0.000976562
1 22 2 0.000976562
1 23 2 0.000976562
1 24 2 0.000976562
1 25 2 0.000976562
1 26 2 0.000976562
1 27 2 0.000976562
1 28 2 0.000976562
1 29 2 0.000976562
1 30 2 0.000976562
1 31 2 0.000976562
1 32 2 0.000976562
1 33 2 0.000976562
1 34 2 0.000976562
1 35 2 0.000976562
1 36 2 0.000976562
1 37 2 0.000976562
1 38 2 0.000976562
1 39 2 0.000976562
1 40 2 0.000976562
1 41 2 0.000976562
1 42 2 0.000976562
1 43 2 0.000976562
1 44 2 0.000976562
1 45 2 0.000976562
1 46 2 0.000976562
1 47 2 0.000976562
1 48 2 0.000976562
1 49 2 0.000976562
1 50 2 0.000976562
1 51 2 0.000976562
1 52 2 0.000976562
1 53 2 0.000976562
1 54 2 0.000976562
1 55 2 0.000976562
1 56 2 0.000976562
1 57 2 0.000976562
1 58 2 0.000976562
1 59 2 0.000976562
1 60 2 0.000976562
1 61 2 0.000976562
1 62 2 0.000976562
1 63 2 0.000976562
1 64 2 0.00012207
1 65 2 0.00012207
1 66 2 0.00012207
1 67 2 0.00012207
1 68 2 0.00012207
1 69 2 0.00012207
1 70 2 0.00012207
1 71 2 0.00012207
1 72 2 0.00012207
1 73 2 0.00012207
1 74 2 0.00012207
1 75 2 0.00012207
1 76 2 0.00012207
1 77 2 0.00012207
1 78 2 0.00012207
1 79 2 0.00012207
1 80 2 0.00012207
1 81 2 0.00012207
1 82 2 0.00012207
1 83 2 0.00012207
1 84 2 0.00012207
1 85 2 0.00012207
1 86 2 0.00012207
1 87 2 0.00012207
1 88 2 0.00012207
1 89 2 0.00012207
1 90 2 0.00012207
1 91 2 0.00012207
1 92 2 0.00012207
1 93 2 0.00012207
1 94 2 0.00012207
1 95 2 0.00012207
1 96 2 0.00012207
1 97 2 0.00012207
1 98 2 0.00012207
1 99 2 0.00012207
1 100 2 0.00012207
2 1 7 0.00292969
2 2 6 0.00195312
2 3 5 0.00195312
2 4 5 0.00195312
2 5 4 0.00195312
2 6 4 0.00195312
2 7 4 0.00195312
2 8 4 0.00195312
2 9 4 0.00195312
2 10 3 0.00195312
2 11 3 0.00195312
2 12 3 0.000976562
2 13 3 0.000976562
2 14 3 0.000976562
2 15 3 0.000976562
2 16 3 0.000976562
2 17 3 0.000976562
2 18 3 0.000976562
2 19 2 0.000976562
2 20 2 0.000976562
2 21 2 0.000976562
2 22 2 0.000976562
2 23 2 0.000976562
2 24 2 0.000976562
2 25 2 0.000976562
2 26 2 0.000976562
2 27 2 0.000976562
2 28 2 0.000976562
2 29 2 0.000976562
2 30 2 0.000976562
2 31 2 0.000976562
2 32 2 0.000976562
2 33 2 0.000976562
2 34 2 0.000976562
2 35 2 0.000976562
2 36 2 0.000976562
2 37 2 0.000976562
2 38 2 0.000976562
2 39 2 0.000976562
2 40 2 0.000976562
2 41 2 0.000976562
2 42 2 0.000976562
2 43 2 0.000976562
2 44 2 0.000976562
2 45 2 0.000976562
2 46 2 0.000976562
2 47 2 0.000976562
2 48 2 0.000976562
2 49 2 0.000976562
2 50 2 0.000976562
2 51 2 0.000976562
2 52 2 0.000976562
2 53 2 0.000976562
2 54 2 0.000976562
2 55 2 0.000976562
2 56 2 0.000976562
2 57 2 0.000976562
2 58 2 0.000976562
2 59 2 0.000976562
2 60 2 0.000976562
2 61 2 0.000976562
2 62 2 0.000976562
2 63 2 0.000976562
